title,price,rating,rating_no,capacity,link
Seagate Expansion Portable 1 TB External Hard Drive HDD – USB 3.0 for PC Laptop (STEA1000400),57.00,4.7 out of 5 stars,"133,063 ratings",1TB,https://www.amazon.co.uk/Seagate-Expansion-Portable-PlayStation-STEA1000400/dp/B00TKFEEAS/ref=sr_1_1?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.lOu0ZvIF50FGZRxUWqSy3xo9ZrMMEQ6SXvuC7H9OV9I4KrqRumIlB4p5zSQjtrIT-tPmcwiv9yopnFdxDzGb91MueSzwHoaemp3-Uk6yjMp6QTKCFG9ojnWRuTVWJonZ-eswaxyfqo5vxyW-qfT45tM7rLQTFtr5cyzg3rjXCiO2JeC0bRWaMGQ6WGc9Z6Sp7J5tw12guyrEj4r197MOt4M2r9srBtVmAYpW7lqt_AyUcwUjGnrJA7ur1sYMbRvsqiGlaP0qwcLTw9swMFyM7fZgeb9N3wy16ouFA-hXuCU.jwCCnf7ecn1gmKYT5n_1DfZ63Q2N_ocHYm5XN0-ph3I&dib_tag=se&keywords=hard+drive&qid=1709668449&refinements=p_89%3ASeagate&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
Seagate Expansion Portable 2 TB External Hard Drive HDD – USB 3.0 for PC Laptop (STEA2000400),79.88,4.7 out of 5 stars,"133,063 ratings",2TB,https://www.amazon.co.uk/Seagate-Expansion-Portable-PlayStation-STEA2000400/dp/B00TKFEE5S/ref=sr_1_2?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.lOu0ZvIF50FGZRxUWqSy3xo9ZrMMEQ6SXvuC7H9OV9I4KrqRumIlB4p5zSQjtrIT-tPmcwiv9yopnFdxDzGb91MueSzwHoaemp3-Uk6yjMp6QTKCFG9ojnWRuTVWJonZ-eswaxyfqo5vxyW-qfT45tM7rLQTFtr5cyzg3rjXCiO2JeC0bRWaMGQ6WGc9Z6Sp7J5tw12guyrEj4r197MOt4M2r9srBtVmAYpW7lqt_AyUcwUjGnrJA7ur1sYMbRvsqiGlaP0qwcLTw9swMFyM7fZgeb9N3wy16ouFA-hXuCU.jwCCnf7ecn1gmKYT5n_1DfZ63Q2N_ocHYm5XN0-ph3I&dib_tag=se&keywords=hard+drive&qid=1709668449&refinements=p_89%3ASeagate&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
Seagate Expansion Portable 4 TB External Hard Drive Desktop HDD – USB 3.0 for PC Laptop (STEA4000400),139.99,4.7 out of 5 stars,"133,063 ratings",4TB,https://www.amazon.co.uk/Seagate-Expansion-Portable-PlayStation-STEA4000400/dp/B017KE8OG0/ref=sr_1_3?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.lOu0ZvIF50FGZRxUWqSy3xo9ZrMMEQ6SXvuC7H9OV9I4KrqRumIlB4p5zSQjtrIT-tPmcwiv9yopnFdxDzGb91MueSzwHoaemp3-Uk6yjMp6QTKCFG9ojnWRuTVWJonZ-eswaxyfqo5vxyW-qfT45tM7rLQTFtr5cyzg3rjXCiO2JeC0bRWaMGQ6WGc9Z6Sp7J5tw12guyrEj4r197MOt4M2r9srBtVmAYpW7lqt_AyUcwUjGnrJA7ur1sYMbRvsqiGlaP0qwcLTw9swMFyM7fZgeb9N3wy16ouFA-hXuCU.jwCCnf7ecn1gmKYT5n_1DfZ63Q2N_ocHYm5XN0-ph3I&dib_tag=se&keywords=hard+drive&qid=1709668449&refinements=p_89%3ASeagate&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
"Seagate 4 TB Expansion USB 3.0 Desktop 3.5 Inch External Hard Drive for PC, Xbox One and PlayStation 4 (STEB4000200)",139.99,4.7 out of 5 stars,"16,548 ratings",4TB,https://www.amazon.co.uk/Seagate-Expansion-External-PlayStation-STEB4000200/dp/B00UNA1OBQ/ref=sr_1_4?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.lOu0ZvIF50FGZRxUWqSy3xo9ZrMMEQ6SXvuC7H9OV9I4KrqRumIlB4p5zSQjtrIT-tPmcwiv9yopnFdxDzGb91MueSzwHoaemp3-Uk6yjMp6QTKCFG9ojnWRuTVWJonZ-eswaxyfqo5vxyW-qfT45tM7rLQTFtr5cyzg3rjXCiO2JeC0bRWaMGQ6WGc9Z6Sp7J5tw12guyrEj4r197MOt4M2r9srBtVmAYpW7lqt_AyUcwUjGnrJA7ur1sYMbRvsqiGlaP0qwcLTw9swMFyM7fZgeb9N3wy16ouFA-hXuCU.jwCCnf7ecn1gmKYT5n_1DfZ63Q2N_ocHYm5XN0-ph3I&dib_tag=se&keywords=hard+drive&qid=1709668449&refinements=p_89%3ASeagate&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
Seagate Expansion Desktop 6 TB External Hard Drive HDD – USB 3.0 for PC Laptop (STEB6000403) - Amazon Exclusive,160.00,4.7 out of 5 stars,"16,548 ratings",6TB,https://www.amazon.co.uk/Seagate-Expansion-External-PlayStation-STEB6000403/dp/B07C7V494X/ref=sr_1_5?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.lOu0ZvIF50FGZRxUWqSy3xo9ZrMMEQ6SXvuC7H9OV9I4KrqRumIlB4p5zSQjtrIT-tPmcwiv9yopnFdxDzGb91MueSzwHoaemp3-Uk6yjMp6QTKCFG9ojnWRuTVWJonZ-eswaxyfqo5vxyW-qfT45tM7rLQTFtr5cyzg3rjXCiO2JeC0bRWaMGQ6WGc9Z6Sp7J5tw12guyrEj4r197MOt4M2r9srBtVmAYpW7lqt_AyUcwUjGnrJA7ur1sYMbRvsqiGlaP0qwcLTw9swMFyM7fZgeb9N3wy16ouFA-hXuCU.jwCCnf7ecn1gmKYT5n_1DfZ63Q2N_ocHYm5XN0-ph3I&dib_tag=se&keywords=hard+drive&qid=1709668449&refinements=p_89%3ASeagate&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
"Seagate FireCuda 2TB portable external hard drive, compatible with PS4, PS5, Xbox One/Series, PC Marvel Edition Okoye, USB 3.2, 3 Years Rescue Services (STKL2000403)",77.07,4.7 out of 5 stars,"1,268 ratings",2TB,https://www.amazon.co.uk/Seagate-FireCuda-Okoye-External-HDD/dp/B0BFTPNLXP/ref=sr_1_13?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.lOu0ZvIF50FGZRxUWqSy3xo9ZrMMEQ6SXvuC7H9OV9I4KrqRumIlB4p5zSQjtrIT-tPmcwiv9yopnFdxDzGb91MueSzwHoaemp3-Uk6yjMp6QTKCFG9ojnWRuTVWJonZ-eswaxyfqo5vxyW-qfT45tM7rLQTFtr5cyzg3rjXCiO2JeC0bRWaMGQ6WGc9Z6Sp7J5tw12guyrEj4r197MOt4M2r9srBtVmAYpW7lqt_AyUcwUjGnrJA7ur1sYMbRvsqiGlaP0qwcLTw9swMFyM7fZgeb9N3wy16ouFA-hXuCU.jwCCnf7ecn1gmKYT5n_1DfZ63Q2N_ocHYm5XN0-ph3I&dib_tag=se&keywords=hard+drive&qid=1709668449&refinements=p_89%3ASeagate&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
"Seagate FireCuda 2TB portable external hard drive, compatible with PS4, PS5, Xbox One/Series, PC Marvel Edition Shuri, USB 3.2, 3 Years Rescue Services (STKL2000402)",91.54,4.7 out of 5 stars,"1,268 ratings",2TB,https://www.amazon.co.uk/Seagate-FireCuda-Shuri-External-HDD/dp/B0BFT9B5ZG/ref=sr_1_15?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.lOu0ZvIF50FGZRxUWqSy3xo9ZrMMEQ6SXvuC7H9OV9I4KrqRumIlB4p5zSQjtrIT-tPmcwiv9yopnFdxDzGb91MueSzwHoaemp3-Uk6yjMp6QTKCFG9ojnWRuTVWJonZ-eswaxyfqo5vxyW-qfT45tM7rLQTFtr5cyzg3rjXCiO2JeC0bRWaMGQ6WGc9Z6Sp7J5tw12guyrEj4r197MOt4M2r9srBtVmAYpW7lqt_AyUcwUjGnrJA7ur1sYMbRvsqiGlaP0qwcLTw9swMFyM7fZgeb9N3wy16ouFA-hXuCU.jwCCnf7ecn1gmKYT5n_1DfZ63Q2N_ocHYm5XN0-ph3I&dib_tag=se&keywords=hard+drive&qid=1709668449&refinements=p_89%3ASeagate&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
"Seagate FireCuda 2TB portable external hard drive, compatible with PS4, PS5, Xbox One/Series, PC, Marvel Edition Black Panther, USB 3.2, 3 Years Rescue Services (STKL2000401)",94.99,4.7 out of 5 stars,"1,268 ratings",2TB,https://www.amazon.co.uk/Seagate-FireCuda-Black-Panther-External/dp/B0BFTFWDHT/ref=sr_1_22?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.lOu0ZvIF50FGZRxUWqSy3xo9ZrMMEQ6SXvuC7H9OV9I4KrqRumIlB4p5zSQjtrIT-tPmcwiv9yopnFdxDzGb91MueSzwHoaemp3-Uk6yjMp6QTKCFG9ojnWRuTVWJonZ-eswaxyfqo5vxyW-qfT45tM7rLQTFtr5cyzg3rjXCiO2JeC0bRWaMGQ6WGc9Z6Sp7J5tw12guyrEj4r197MOt4M2r9srBtVmAYpW7lqt_AyUcwUjGnrJA7ur1sYMbRvsqiGlaP0qwcLTw9swMFyM7fZgeb9N3wy16ouFA-hXuCU.jwCCnf7ecn1gmKYT5n_1DfZ63Q2N_ocHYm5XN0-ph3I&dib_tag=se&keywords=hard+drive&qid=1709668449&refinements=p_89%3ASeagate&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-2
"Seagate Game Drive for PS5, 2TB, Portable External Hard Drive, Compatible with PS4 and PS5 (STGD2000200), Black",74.99,4.6 out of 5 stars,"52,656 ratings",2TB,https://www.amazon.co.uk/Seagate-2TB-Game-Drive-PlayStation/dp/B07PPNSFBK/ref=sr_1_24?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.lOu0ZvIF50FGZRxUWqSy3xo9ZrMMEQ6SXvuC7H9OV9I4KrqRumIlB4p5zSQjtrIT-tPmcwiv9yopnFdxDzGb91MueSzwHoaemp3-Uk6yjMp6QTKCFG9ojnWRuTVWJonZ-eswaxyfqo5vxyW-qfT45tM7rLQTFtr5cyzg3rjXCiO2JeC0bRWaMGQ6WGc9Z6Sp7J5tw12guyrEj4r197MOt4M2r9srBtVmAYpW7lqt_AyUcwUjGnrJA7ur1sYMbRvsqiGlaP0qwcLTw9swMFyM7fZgeb9N3wy16ouFA-hXuCU.jwCCnf7ecn1gmKYT5n_1DfZ63Q2N_ocHYm5XN0-ph3I&dib_tag=se&keywords=hard+drive&qid=1709668449&refinements=p_89%3ASeagate&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-2
