title,price,rating,rating_no,capacity,link
"Sandisk 1TB Portable SSD – up to 800MB/s Read Speed, USB 3.2 Gen 2",76.99,4.6 out of 5 stars,"78,076 ratings",1TB,https://www.amazon.co.uk/Sandisk-1TB-Portable-SSD-800MB/dp/B0C5JQ68FY/ref=sr_1_12?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.XrTQbfPgFoRrPOH00hJrVD0byqiNYE1G85R6s4nEvHXAtkrUICX2HfbI0aCRcye8kVN777djpQtWF6AIjp4lzsf6UWlQcXi-17m_FzHY7QggHCDOlBVAAHC2CZFyDZ7yawSr_mNUCyuneB1u0VlszkRmqEbeR6UAAgWopcQq3xpaJ3c5EGJjpaHpuIiHLVpPsq36MAx5LKHqd8TdW9rl0hcadE0dfvuEV9RY0QtJBc8qZNxuOiNeQG2aYjyQZVAvDj7Sx7Cfw5JN0dVyEyJyxRyuZKTkuM2CN7Hluf5Qe0c.W751nzvrRKyiIpMOuhbkXi14XaYZeYbU30pYZJgSG-U&dib_tag=se&keywords=hard+drive&qid=1709668451&refinements=p_89%3ASanDisk&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
"SanDisk 4TB Extreme PRO Portable SSD, USB-C USB 3.2 Gen 2x2, External NVMe Solid State Drive, up to 2000 MB/s, IP65 rated for dust and water resistance",299.99,4.6 out of 5 stars,"78,076 ratings",4TB,https://www.amazon.co.uk/SanDisk-Extreme-Portable-Ruggedised-Water-Resistant/dp/B08RX3343D/ref=sr_1_13?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.XrTQbfPgFoRrPOH00hJrVD0byqiNYE1G85R6s4nEvHXAtkrUICX2HfbI0aCRcye8kVN777djpQtWF6AIjp4lzsf6UWlQcXi-17m_FzHY7QggHCDOlBVAAHC2CZFyDZ7yawSr_mNUCyuneB1u0VlszkRmqEbeR6UAAgWopcQq3xpaJ3c5EGJjpaHpuIiHLVpPsq36MAx5LKHqd8TdW9rl0hcadE0dfvuEV9RY0QtJBc8qZNxuOiNeQG2aYjyQZVAvDj7Sx7Cfw5JN0dVyEyJyxRyuZKTkuM2CN7Hluf5Qe0c.W751nzvrRKyiIpMOuhbkXi14XaYZeYbU30pYZJgSG-U&dib_tag=se&keywords=hard+drive&qid=1709668451&refinements=p_89%3ASanDisk&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
"SanDisk 4TB Extreme Portable SSD, USB-C USB 3.2 Gen 2, External NVMe Solid State Drive, up to 1050 MB/s, IP65 rated for dust and water resistance",279.00,4.6 out of 5 stars,"78,076 ratings",4TB,https://www.amazon.co.uk/SanDisk-Extreme-Portable-1050MB-Dust-Resistant/dp/B08RX4QKXS/ref=sr_1_14?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.XrTQbfPgFoRrPOH00hJrVD0byqiNYE1G85R6s4nEvHXAtkrUICX2HfbI0aCRcye8kVN777djpQtWF6AIjp4lzsf6UWlQcXi-17m_FzHY7QggHCDOlBVAAHC2CZFyDZ7yawSr_mNUCyuneB1u0VlszkRmqEbeR6UAAgWopcQq3xpaJ3c5EGJjpaHpuIiHLVpPsq36MAx5LKHqd8TdW9rl0hcadE0dfvuEV9RY0QtJBc8qZNxuOiNeQG2aYjyQZVAvDj7Sx7Cfw5JN0dVyEyJyxRyuZKTkuM2CN7Hluf5Qe0c.W751nzvrRKyiIpMOuhbkXi14XaYZeYbU30pYZJgSG-U&dib_tag=se&keywords=hard+drive&qid=1709668451&refinements=p_89%3ASanDisk&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
"SanDisk 1TB Extreme PRO Portable SSD, USB-C USB 3.2 Gen 2x2 External NVMe Solid State Drive up to 2000 MB/s IP65 rated for dust and water resistance",134.00,4.6 out of 5 stars,"78,076 ratings",1TB,https://www.amazon.co.uk/SanDisk-Extreme-Portable-Ruggedised-Water-Resistant/dp/B08GV9M64L/ref=sr_1_15?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.XrTQbfPgFoRrPOH00hJrVD0byqiNYE1G85R6s4nEvHXAtkrUICX2HfbI0aCRcye8kVN777djpQtWF6AIjp4lzsf6UWlQcXi-17m_FzHY7QggHCDOlBVAAHC2CZFyDZ7yawSr_mNUCyuneB1u0VlszkRmqEbeR6UAAgWopcQq3xpaJ3c5EGJjpaHpuIiHLVpPsq36MAx5LKHqd8TdW9rl0hcadE0dfvuEV9RY0QtJBc8qZNxuOiNeQG2aYjyQZVAvDj7Sx7Cfw5JN0dVyEyJyxRyuZKTkuM2CN7Hluf5Qe0c.W751nzvrRKyiIpMOuhbkXi14XaYZeYbU30pYZJgSG-U&dib_tag=se&keywords=hard+drive&qid=1709668451&refinements=p_89%3ASanDisk&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
"SanDisk 2TB Portable SSD external SSD USB 3.2 Gen 2 up to 520 MB/s read speeds, Black",119.37,4.6 out of 5 stars,"78,076 ratings",2TB,https://www.amazon.co.uk/SanDisk-Portable-520MB-read-speed/dp/B08RSML1B8/ref=sr_1_16?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.XrTQbfPgFoRrPOH00hJrVD0byqiNYE1G85R6s4nEvHXAtkrUICX2HfbI0aCRcye8kVN777djpQtWF6AIjp4lzsf6UWlQcXi-17m_FzHY7QggHCDOlBVAAHC2CZFyDZ7yawSr_mNUCyuneB1u0VlszkRmqEbeR6UAAgWopcQq3xpaJ3c5EGJjpaHpuIiHLVpPsq36MAx5LKHqd8TdW9rl0hcadE0dfvuEV9RY0QtJBc8qZNxuOiNeQG2aYjyQZVAvDj7Sx7Cfw5JN0dVyEyJyxRyuZKTkuM2CN7Hluf5Qe0c.W751nzvrRKyiIpMOuhbkXi14XaYZeYbU30pYZJgSG-U&dib_tag=se&keywords=hard+drive&qid=1709668451&refinements=p_89%3ASanDisk&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
"Sandisk 2TB Portable SSD – up to 800MB/s Read Speed, USB 3.2 Gen 2",119.99,4.6 out of 5 stars,"78,076 ratings",2TB,https://www.amazon.co.uk/Sandisk-2TB-Portable-SSD-800MB/dp/B0C5JNWF58/ref=sr_1_17?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.XrTQbfPgFoRrPOH00hJrVD0byqiNYE1G85R6s4nEvHXAtkrUICX2HfbI0aCRcye8kVN777djpQtWF6AIjp4lzsf6UWlQcXi-17m_FzHY7QggHCDOlBVAAHC2CZFyDZ7yawSr_mNUCyuneB1u0VlszkRmqEbeR6UAAgWopcQq3xpaJ3c5EGJjpaHpuIiHLVpPsq36MAx5LKHqd8TdW9rl0hcadE0dfvuEV9RY0QtJBc8qZNxuOiNeQG2aYjyQZVAvDj7Sx7Cfw5JN0dVyEyJyxRyuZKTkuM2CN7Hluf5Qe0c.W751nzvrRKyiIpMOuhbkXi14XaYZeYbU30pYZJgSG-U&dib_tag=se&keywords=hard+drive&qid=1709668451&refinements=p_89%3ASanDisk&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
"SanDisk 4TB Extreme Portable SSD, USB-C, External NVMe Solid State Drive, up to 1050 MB/s, IP65 rated for dust and water resistance - Monterey",294.99,4.6 out of 5 stars,"78,076 ratings",4TB,https://www.amazon.co.uk/SanDisk-Extreme-Portable-External-resistance/dp/B0C59FBGG1/ref=sr_1_18?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.XrTQbfPgFoRrPOH00hJrVD0byqiNYE1G85R6s4nEvHXAtkrUICX2HfbI0aCRcye8kVN777djpQtWF6AIjp4lzsf6UWlQcXi-17m_FzHY7QggHCDOlBVAAHC2CZFyDZ7yawSr_mNUCyuneB1u0VlszkRmqEbeR6UAAgWopcQq3xpaJ3c5EGJjpaHpuIiHLVpPsq36MAx5LKHqd8TdW9rl0hcadE0dfvuEV9RY0QtJBc8qZNxuOiNeQG2aYjyQZVAvDj7Sx7Cfw5JN0dVyEyJyxRyuZKTkuM2CN7Hluf5Qe0c.W751nzvrRKyiIpMOuhbkXi14XaYZeYbU30pYZJgSG-U&dib_tag=se&keywords=hard+drive&qid=1709668451&refinements=p_89%3ASanDisk&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
"SanDisk Portable SSD 480GB, up to 520MB/s read speed Black",60.99,4.6 out of 5 stars,"78,076 ratings",480GB,https://www.amazon.co.uk/SanDisk-SDSSDE30-480G-G25-Portable-480GB-520MB/dp/B08RSK74K1/ref=sr_1_20?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.XrTQbfPgFoRrPOH00hJrVD0byqiNYE1G85R6s4nEvHXAtkrUICX2HfbI0aCRcye8kVN777djpQtWF6AIjp4lzsf6UWlQcXi-17m_FzHY7QggHCDOlBVAAHC2CZFyDZ7yawSr_mNUCyuneB1u0VlszkRmqEbeR6UAAgWopcQq3xpaJ3c5EGJjpaHpuIiHLVpPsq36MAx5LKHqd8TdW9rl0hcadE0dfvuEV9RY0QtJBc8qZNxuOiNeQG2aYjyQZVAvDj7Sx7Cfw5JN0dVyEyJyxRyuZKTkuM2CN7Hluf5Qe0c.W751nzvrRKyiIpMOuhbkXi14XaYZeYbU30pYZJgSG-U&dib_tag=se&keywords=hard+drive&qid=1709668451&refinements=p_89%3ASanDisk&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-2
"SanDisk Extreme 500GB Portable NVMe SSD, USB-C, up to 1050MB/s Read and 1000MB/s Write Speed, Water and Dust-Resistant",82.99,4.6 out of 5 stars,"78,076 ratings",500GB,https://www.amazon.co.uk/SanDisk-Extreme-Portable-1050MB-Dust-Resistant/dp/B08GTXVG9P/ref=sr_1_21?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.XrTQbfPgFoRrPOH00hJrVD0byqiNYE1G85R6s4nEvHXAtkrUICX2HfbI0aCRcye8kVN777djpQtWF6AIjp4lzsf6UWlQcXi-17m_FzHY7QggHCDOlBVAAHC2CZFyDZ7yawSr_mNUCyuneB1u0VlszkRmqEbeR6UAAgWopcQq3xpaJ3c5EGJjpaHpuIiHLVpPsq36MAx5LKHqd8TdW9rl0hcadE0dfvuEV9RY0QtJBc8qZNxuOiNeQG2aYjyQZVAvDj7Sx7Cfw5JN0dVyEyJyxRyuZKTkuM2CN7Hluf5Qe0c.W751nzvrRKyiIpMOuhbkXi14XaYZeYbU30pYZJgSG-U&dib_tag=se&keywords=hard+drive&qid=1709668451&refinements=p_89%3ASanDisk&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-2
"SanDisk Professional 500GB G-DRIVE SSD, Ultra-Rugged, Shock, Dust and Water proof, Portable External NVMe SSD, Up to 1050MB/s, USB-C (10Gbps), USB 3.2 Gen 2, Thunderbolt 3",111.87,4.5 out of 5 stars,"2,973 ratings",500GB,https://www.amazon.co.uk/SanDisk-Professional-Ultra-Rugged-Portable-External/dp/B09299S4S6/ref=sr_1_24?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.XrTQbfPgFoRrPOH00hJrVD0byqiNYE1G85R6s4nEvHXAtkrUICX2HfbI0aCRcye8kVN777djpQtWF6AIjp4lzsf6UWlQcXi-17m_FzHY7QggHCDOlBVAAHC2CZFyDZ7yawSr_mNUCyuneB1u0VlszkRmqEbeR6UAAgWopcQq3xpaJ3c5EGJjpaHpuIiHLVpPsq36MAx5LKHqd8TdW9rl0hcadE0dfvuEV9RY0QtJBc8qZNxuOiNeQG2aYjyQZVAvDj7Sx7Cfw5JN0dVyEyJyxRyuZKTkuM2CN7Hluf5Qe0c.W751nzvrRKyiIpMOuhbkXi14XaYZeYbU30pYZJgSG-U&dib_tag=se&keywords=hard+drive&qid=1709668451&refinements=p_89%3ASanDisk&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-2
